stu;nb_polys;nb_smu;area;soil;soil90;text1;text2;slope1;slope2;aglim1;aglim2;mat1;mat2;zmin;zmax;use1;use2;dt;td1;td2;roo;il;wr;wm1;wm2;wm3;cfl
"332746;3;1;213.9352656;\"Bd\";\"\";2;0;2;3;3;1;\"700\";\"740\";200;500;5;1;5;0;0;2;1;1;2;0;0;\"L\""
"332747;3;1;91.6865424;\"Id\";\"\";2;0;3;0;3;1;\"700\";\"\";200;500;5;1;5;0;0;4;1;1;2;0;0;\"L\""
"332748;14;1;4426.85325197;\"Lo\";\"\";3;2;1;0;1;1;\"520\";\"\";0;200;3;5;5;0;0;1;1;1;2;0;0;\"H\""
"332749;14;1;1264.81521485;\"Be\";\"\";4;5;2;3;3;1;\"331\";\"\";0;200;3;5;2;5;0;1;1;1;2;0;0;\"H\""
"332750;14;1;632.407607425;\"Eo\";\"\";3;4;3;0;4;3;\"220\";\"\";0;200;3;5;5;0;0;1;1;1;2;0;0;\"H\""
"332751;5;1;279.268605;\"Lc\";\"\";2;0;1;0;1;1;\"112\";\"\";75;300;3;1;5;0;0;1;1;1;2;0;0;\"L\""
"332752;5;1;15.5149225;\"Rc\";\"\";2;0;0;0;1;1;\"112\";\"\";75;300;3;1;5;0;0;1;1;1;2;0;0;\"L\""
"332753;5;1;15.5149225;\"Bk\";\"\";2;0;0;0;1;1;\"112\";\"\";75;300;3;1;5;0;0;1;1;1;2;0;0;\"L\""
"332754;15;1;4062.5722135;\"D\";\"\";3;0;1;2;1;1;\"520\";\"\";100;250;3;1;5;0;0;1;3;2;1;0;0;\"H\""
"332755;15;1;1625.0288854;\"Lo\";\"\";3;0;1;2;1;1;\"520\";\"\";100;250;3;1;5;0;0;1;2;1;1;0;0;\"M\""
"332756;15;1;1218.77166405;\"Lg\";\"\";3;0;1;2;1;1;\"520\";\"\";100;250;3;1;5;0;0;1;3;2;1;0;0;\"H\""
"332757;15;1;1218.77166405;\"Be\";\"\";4;5;2;3;3;1;\"331\";\"\";100;250;3;1;5;0;0;1;1;1;2;0;0;\"H\""
"332758;20;1;3250.1096712;\"Lg\";\"\";2;3;1;0;1;1;\"511\";\"\";50;350;1;3;3;4;0;1;3;2;1;0;0;\"L\""
"332759;20;1;361.1232968;\"Lo\";\"\";2;3;1;2;1;1;\"511\";\"\";50;350;1;3;5;0;0;1;2;1;2;0;0;\"L\""
